craft_id,output_name,output_amount,req_labor,materials
9001214,Arctic Earthstone,× 100,200,"[{""name"": ""Faded Honor Token"", ""amount"": ""100""}, {""name"": ""Faded Loyalty Token"", ""amount"": ""100""}, {""name"": ""Faded Courage Token"", ""amount"": ""100""}, {""name"": ""Faded Conviction Token"", ""amount"": ""100""}, {""name"": ""Faded Fortitude Token"", ""amount"": ""100""}, {""name"": ""Faded Sacrifice Token"", ""amount"": ""100""}, {""name"": ""Faded Compassion Token"", ""amount"": ""100""}, {""name"": ""Faded Hasla Fragment"", ""amount"": ""100""}, {""name"": ""Coin"", ""amount"": ""100""}]"
9001213,Arctic Earthstone,× 50,100,"[{""name"": ""Faded Honor Token"", ""amount"": ""50""}, {""name"": ""Faded Loyalty Token"", ""amount"": ""50""}, {""name"": ""Faded Courage Token"", ""amount"": ""50""}, {""name"": ""Faded Conviction Token"", ""amount"": ""50""}, {""name"": ""Faded Fortitude Token"", ""amount"": ""50""}, {""name"": ""Faded Sacrifice Token"", ""amount"": ""50""}, {""name"": ""Faded Compassion Token"", ""amount"": ""50""}, {""name"": ""Faded Hasla Fragment"", ""amount"": ""50""}, {""name"": ""Coin"", ""amount"": ""50""}]"
9001204,Stormwraith Kirin,× 1,100,"[{""name"": ""Hellwraith Kirin"", ""amount"": ""1""}, {""name"": ""Kirin Helm"", ""amount"": ""1""}, {""name"": ""Kirin Saddle"", ""amount"": ""1""}, {""name"": ""Kirin Legguards"", ""amount"": ""1""}]"
9001203,Stormwraith Kirin,× 1,100,"[{""name"": ""Mistwraith Kirin"", ""amount"": ""1""}, {""name"": ""Kirin Helm"", ""amount"": ""1""}, {""name"": ""Kirin Saddle"", ""amount"": ""1""}, {""name"": ""Kirin Legguards"", ""amount"": ""1""}]"
9001202,Stormwraith Kirin,× 1,100,"[{""name"": ""Gloomwraith Kirin"", ""amount"": ""1""}, {""name"": ""Kirin Helm"", ""amount"": ""1""}, {""name"": ""Kirin Saddle"", ""amount"": ""1""}, {""name"": ""Kirin Legguards"", ""amount"": ""1""}]"
9001193,Image Item: Merciless Sleuth's Steamgoggles,× 1,50,"[{""name"": ""Merciless Sleuth's Steamgoggles"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001192,Image Item: Sleuth's Steamgoggles,× 1,50,"[{""name"": ""Sleuth's Steamgoggles"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001191,Image Item: Aranzeb's Gemfast Circlet,× 1,50,"[{""name"": ""Aranzeb's Gemfast Circlet"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001190,Image Item: Gemfast Circlet,× 1,50,"[{""name"": ""Gemfast Circlet"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001189,Image Item: Tempest Seastorm Tricorne,× 1,50,"[{""name"": ""Tempest Seastorm Tricorne"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001188,Image Item: Seastorm Tricorne,× 1,50,"[{""name"": ""Seastorm Tricorne"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001187,Image Item: Dark Watcher Cloak,× 1,50,"[{""name"": ""Dark Watcher Cloak"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001183,Reinforced Ironclad Plating,× 1,5,"[{""name"": ""Thunderstruck Log"", ""amount"": ""1""}, {""name"": ""Blood Archeum Crystal"", ""amount"": ""1""}, {""name"": ""Fine Lumber"", ""amount"": ""1""}, {""name"": ""Sturdy Ingot"", ""amount"": ""1""}, {""name"": ""Coin"", ""amount"": ""1""}]"
9001182,Scroll: Reinforced Ironclad,× 1,25,"[{""name"": ""Siege Weapon Design"", ""amount"": ""1""}, {""name"": ""Strong Wheel"", ""amount"": ""4""}, {""name"": ""Reinforced Ironclad Plating"", ""amount"": ""1""}, {""name"": ""Coin"", ""amount"": ""1""}]"
9001166,Image Item: Sapphire Dancing Queen,× 1,50,"[{""name"": ""Sapphire Dancing Queen"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001165,Image Item: Hellfire Dancing Queen,× 1,50,"[{""name"": ""Hellfire Dancing Queen"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001164,Image Item: Dancing Queen's Ruin,× 1,50,"[{""name"": ""Dancing Queen's Ruin"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001163,Image Item: Dancing Queen,× 1,50,"[{""name"": ""Dancing Queen"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001162,Image Item: Sapphire Fangbane,× 1,50,"[{""name"": ""Sapphire Fangbane"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001161,Image Item: Fangbane,× 1,50,"[{""name"": ""Fangbane"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001160,Image Item: Sapphire Watcher's Dagger,× 1,50,"[{""name"": ""Sapphire Watcher's Dagger"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001159,Image Item: Sinister Watcher's Dagger,× 1,50,"[{""name"": ""Sinister Watcher's Dagger"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001158,Image Item: Faded Dark Watcher's Dagger,× 1,50,"[{""name"": ""Faded Dark Watcher's Dagger"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001157,Image Item: Sapphire Void Leader Dagger,× 1,50,"[{""name"": ""Sapphire Void Leader Dagger"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001156,Image Item: Screaming Void Leader Dagger,× 1,50,"[{""name"": ""Screaming Void Leader Dagger"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001155,Image Item: Sinister Void Leader Dagger,× 1,50,"[{""name"": ""Sinister Void Leader Dagger"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001154,Image Item: Void Leader Dagger,× 1,50,"[{""name"": ""Void Leader Dagger"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001153,Image Item: Sapphire Skull Splitter,× 1,50,"[{""name"": ""Sapphire Skull Splitter"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001152,Image Item: Haunted Skull Splitter,× 1,50,"[{""name"": ""Haunted Skull Splitter"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001151,Image Item: Sapphire Veiled Terror,× 1,50,"[{""name"": ""Sapphire Veiled Terror"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001150,Image Item: Corrupted Veiled Terror,× 1,50,"[{""name"": ""Corrupted Veiled Terror"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001149,Image Item: Veiled Terror,× 1,50,"[{""name"": ""Veiled Terror"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001148,Image Item: Faded Veiled Terror,× 1,50,"[{""name"": ""Faded Veiled Terror"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001147,Image Item: Sapphire Pristine Wit,× 1,50,"[{""name"": ""Sapphire Pristine Wit"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001146,Image Item: Harbinger's Pristine Wit,× 1,50,"[{""name"": ""Harbinger's Pristine Wit"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001145,Image Item: Corrupted Wit,× 1,50,"[{""name"": ""Corrupted Wit"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001144,Image Item: Sapphire Demon's Heart,× 1,50,"[{""name"": ""Sapphire Demon's Heart"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001143,Image Item: Immortal Demon's Heart,× 1,50,"[{""name"": ""Immortal Demon's Heart"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001142,Image Item: Undying Demon's Heart,× 1,50,"[{""name"": ""Undying Demon's Heart"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001141,Image Item: Demon's Heart,× 1,50,"[{""name"": ""Demon's Heart"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001140,Image Item: Sapphire Soulripper,× 1,50,"[{""name"": ""Sapphire Soulripper"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001139,Image Item: Screaming Soulripper,× 1,50,"[{""name"": ""Screaming Soulripper"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001138,Image Item: Soulripper,× 1,50,"[{""name"": ""Soulripper"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001137,Image Item: Faded Soulripper,× 1,50,"[{""name"": ""Faded Soulripper"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001136,Image Item: Sapphire Blooddrinker Blossom,× 1,50,"[{""name"": ""Sapphire Blooddrinker Blossom"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001135,Image Item: Sated Blooddrinker Blossom,× 1,50,"[{""name"": ""Sated Blooddrinker Blossom"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001134,Image Item: Blooddrinker Blossom,× 1,50,"[{""name"": ""Blooddrinker Blossom"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001133,Image Item: Faded Blooddrinker Blossom,× 1,50,"[{""name"": ""Faded Blooddrinker Blossom"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001132,Image Item: Sapphire Demon's Charm,× 1,50,"[{""name"": ""Sapphire Demon's Charm"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001131,Image Item: Alluring Demon's Charm,× 1,50,"[{""name"": ""Alluring Demon's Charm"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001130,Image Item: Tempting Demon's Charm,× 1,50,"[{""name"": ""Tempting Demon's Charm"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001129,Image Item: Demon's Charm,× 1,50,"[{""name"": ""Demon's Charm"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001128,Image Item: Sirothe's Hatred,× 1,50,"[{""name"": ""Sirothe's Hatred"", ""amount"": ""1""}, {""name"": ""Fusion Alembic"", ""amount"": ""1""}]"
9001127,Sapphire Demon's Charm,× 1,50,"[{""name"": ""Alluring Demon's Charm"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""60""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""30""}, {""name"": ""Sapphire"", ""amount"": ""10""}]"
9001126,Alluring Demon's Charm,× 1,50,"[{""name"": ""Tempting Demon's Charm"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
9001125,Tempting Demon's Charm,× 1,50,"[{""name"": ""Demon's Charm"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""40""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""1""}]"
9001124,Sapphire Blooddrinker Blossom,× 1,50,"[{""name"": ""Sated Blooddrinker Blossom"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""60""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""30""}, {""name"": ""Sapphire"", ""amount"": ""10""}]"
9001123,Sated Blooddrinker Blossom,× 1,50,"[{""name"": ""Blooddrinker Blossom"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
9001122,Sapphire Soulripper,× 1,50,"[{""name"": ""Screaming Soulripper"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""60""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""30""}, {""name"": ""Sapphire"", ""amount"": ""10""}]"
9001121,Screaming Soulripper,× 1,50,"[{""name"": ""Soulripper"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
9001120,Sapphire Demon's Heart,× 1,50,"[{""name"": ""Immortal Demon's Heart"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""60""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""30""}, {""name"": ""Sapphire"", ""amount"": ""10""}]"
9001119,Immortal Demon's Heart,× 1,50,"[{""name"": ""Undying Demon's Heart"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
9001118,Undying Demon's Heart,× 1,50,"[{""name"": ""Demon's Heart"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""40""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""1""}]"
9001117,Sapphire Pristine Wit,× 1,50,"[{""name"": ""Harbinger's Pristine Wit"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""60""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""30""}, {""name"": ""Sapphire"", ""amount"": ""10""}]"
9001116,Harbinger's Pristine Wit,× 1,50,"[{""name"": ""Corrupted Wit"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
9001115,Corrupted Wit,× 1,50,"[{""name"": ""Pristine Wit"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""40""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""1""}]"
9001114,Sapphire Veiled Terror,× 1,50,"[{""name"": ""Corrupted Veiled Terror"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""60""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""30""}, {""name"": ""Sapphire"", ""amount"": ""10""}]"
9001113,Corrupted Veiled Terror,× 1,50,"[{""name"": ""Veiled Terror"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
9001112,Veiled Terror,× 1,50,"[{""name"": ""Faded Veiled Terror"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""40""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""1""}]"
9001111,Sapphire Skull Splitter,× 1,50,"[{""name"": ""Haunted Skull Splitter"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""60""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""30""}, {""name"": ""Sapphire"", ""amount"": ""10""}]"
9001110,Haunted Skull Splitter,× 1,50,"[{""name"": ""Abyssal Skull Splitter"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
9001109,Abyssal Skull Splitter,× 1,50,"[{""name"": ""Skull Splitter"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""40""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""1""}]"
9001108,Sapphire Dancing Queen,× 1,50,"[{""name"": ""Hellfire Dancing Queen"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""60""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""30""}, {""name"": ""Sapphire"", ""amount"": ""10""}]"
9001107,Dancing Queen's Ruin,× 1,50,"[{""name"": ""Dancing Queen"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""40""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""1""}]"
9001106,Hellfire Dancing Queen,× 1,50,"[{""name"": ""Dancing Queen's Ruin"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
9001105,Sinister Watcher's Dagger,× 1,50,"[{""name"": ""Dark Watcher's Dagger"", ""amount"": ""1""}, {""name"": ""Deranged Spirit"", ""amount"": ""10""}, {""name"": ""Arcadian Seafoam"", ""amount"": ""10""}, {""name"": ""Brinebrawn Stone"", ""amount"": ""50""}, {""name"": ""Sunlight Archeum Crystal"", ""amount"": ""20""}, {""name"": ""Coin"", ""amount"": ""1""}, {""name"": ""Sirothe Ingot"", ""amount"": ""10""}]"
